category,amount,gender,state,city_population,is_fraud,age,hour
11.0,1177.79,0.0,24.0,602,1,70,22.0
4.0,307.09,1.0,0.0,145,1,84,22.0
7.0,4.58,1.0,0.0,145,1,84,22.0
12.0,730.78,1.0,0.0,145,1,84,22.0
11.0,1006.4,1.0,0.0,145,1,84,22.0
12.0,830.72,1.0,0.0,145,1,84,22.0
4.0,311.92,1.0,0.0,145,1,84,23.0
12.0,762.93,0.0,24.0,602,1,70,23.0
11.0,855.88,0.0,24.0,602,1,70,18.0
11.0,909.29,0.0,24.0,602,1,70,23.0
4.0,300.14,1.0,2.0,11253,1,67,4.0
11.0,967.92,1.0,2.0,11253,1,67,22.0
4.0,270.01,1.0,2.0,11253,1,67,23.0
4.0,289.69,1.0,2.0,11253,1,67,23.0
4.0,311.83,1.0,35.0,21635,1,23,0.0
4.0,283.19,1.0,35.0,21635,1,23,0.0
2.0,15.82,0.0,45.0,976,1,25,1.0
4.0,296.32,1.0,2.0,11253,1,67,1.0
4.0,334.28,0.0,45.0,976,1,25,1.0
9.0,664.73,0.0,34.0,1228,1,34,1.0
2.0,8.79,1.0,2.0,11253,1,67,2.0
4.0,301.55,1.0,2.0,11253,1,67,2.0
4.0,327.26,0.0,45.0,976,1,25,2.0
11.0,1127.56,0.0,34.0,1228,1,34,3.0
4.0,276.41,1.0,35.0,21635,1,23,3.0
8.0,722.92,0.0,34.0,1228,1,34,3.0
2.0,8.33,0.0,45.0,976,1,25,4.0
4.0,333.09,0.0,34.0,1228,1,34,4.0
4.0,291.51,1.0,35.0,21635,1,23,11.0
0.0,564.57,0.0,34.0,1228,1,34,16.0
12.0,929.28,0.0,34.0,1228,1,34,22.0
8.0,848.32,0.0,45.0,976,1,25,22.0
11.0,1003.72,1.0,2.0,11253,1,67,22.0
11.0,1131.66,1.0,35.0,21635,1,23,22.0
11.0,959.59,1.0,35.0,21635,1,23,22.0
0.0,388.02,1.0,2.0,11253,1,67,23.0
11.0,1050.01,1.0,35.0,21635,1,23,23.0
11.0,996.93,1.0,35.0,21635,1,23,23.0
12.0,1030.43,0.0,45.0,976,1,25,23.0
11.0,937.47,1.0,35.0,21635,1,23,23.0
8.0,623.43,1.0,35.0,21635,1,23,0.0
4.0,346.69,0.0,34.0,1228,1,34,0.0
4.0,337.06,0.0,9.0,276002,1,73,1.0
2.0,18.86,0.0,41.0,355,1,69,1.0
11.0,847.72,0.0,34.0,1228,1,34,2.0
8.0,897.67,1.0,35.0,21635,1,23,2.0
4.0,305.6,0.0,9.0,276002,1,73,2.0
4.0,301.33,0.0,9.0,276002,1,73,3.0
8.0,701.88,0.0,34.0,1228,1,34,4.0
4.0,303.14,0.0,9.0,276002,1,73,10.0
8.0,749.94,1.0,35.0,21635,1,23,15.0
11.0,1006.34,0.0,41.0,355,1,69,15.0
12.0,1104.38,0.0,45.0,976,1,25,22.0
11.0,1044.81,0.0,9.0,276002,1,73,22.0
11.0,937.57,0.0,45.0,976,1,25,22.0
11.0,918.69,0.0,45.0,976,1,25,22.0
13.0,10.53,0.0,45.0,976,1,25,22.0
8.0,835.36,0.0,9.0,276002,1,73,22.0
1.0,95.94,0.0,34.0,1228,1,34,22.0
13.0,9.91,1.0,35.0,21635,1,23,22.0
12.0,1148.15,0.0,45.0,976,1,25,23.0
12.0,945.56,0.0,9.0,276002,1,73,23.0
7.0,18.24,0.0,34.0,1228,1,34,23.0
4.0,325.38,0.0,9.0,276002,1,73,0.0
2.0,8.45,0.0,9.0,276002,1,73,2.0
4.0,311.47,0.0,41.0,355,1,69,3.0
11.0,1161.58,0.0,9.0,276002,1,73,22.0
8.0,685.63,0.0,9.0,276002,1,73,22.0
4.0,344.01,0.0,41.0,355,1,69,23.0
8.0,831.16,0.0,21.0,1643,1,48,0.0
4.0,299.98,1.0,38.0,2518,1,78,0.0
4.0,353.06,0.0,21.0,1643,1,48,1.0
12.0,846.52,0.0,21.0,1643,1,48,1.0
4.0,334.85,0.0,21.0,1643,1,48,2.0
2.0,8.18,1.0,38.0,2518,1,78,2.0
11.0,1008.39,0.0,21.0,1643,1,48,3.0
2.0,9.15,0.0,21.0,1643,1,48,3.0
2.0,11.48,1.0,38.0,2518,1,78,7.0
9.0,830.58,0.0,21.0,1643,1,48,7.0
5.0,21.13,0.0,21.0,1643,1,48,15.0
5.0,19.51,0.0,21.0,1643,1,48,19.0
11.0,992.1,1.0,38.0,2518,1,78,22.0
12.0,882.9,1.0,38.0,2518,1,78,23.0
5.0,24.78,0.0,21.0,1643,1,48,23.0
11.0,1001.51,1.0,38.0,2518,1,78,23.0
2.0,11.73,1.0,38.0,5507,1,50,0.0
2.0,7.04,1.0,29.0,2202,1,50,1.0
4.0,288.41,1.0,38.0,2518,1,78,1.0
4.0,298.99,1.0,38.0,2518,1,78,2.0
4.0,368.43,0.0,21.0,1643,1,48,3.0
4.0,328.68,1.0,38.0,5507,1,50,3.0
4.0,303.58,1.0,34.0,277,1,52,7.0
12.0,644.4,1.0,29.0,2202,1,50,15.0
1.0,120.58,1.0,38.0,5507,1,50,15.0
11.0,1081.35,1.0,38.0,5507,1,50,19.0
8.0,843.44,1.0,38.0,2518,1,78,22.0
7.0,20.58,0.0,21.0,1643,1,48,22.0
11.0,776.7,1.0,38.0,5507,1,50,22.0
8.0,728.36,1.0,38.0,2518,1,78,22.0
8.0,784.77,1.0,29.0,2202,1,50,23.0
6.0,264.35,0.0,21.0,1643,1,48,23.0
4.0,278.32,1.0,34.0,277,1,52,23.0
8.0,696.76,1.0,38.0,2518,1,78,23.0
1.0,119.72,0.0,21.0,1643,1,48,23.0
8.0,741.88,1.0,34.0,277,1,52,23.0
11.0,1116.8,1.0,29.0,2202,1,50,23.0
4.0,320.6,1.0,29.0,2202,1,50,0.0
12.0,952.08,0.0,1.0,270712,1,52,0.0
11.0,1060.34,0.0,1.0,270712,1,52,1.0
2.0,7.42,1.0,34.0,277,1,52,1.0
4.0,276.8,1.0,29.0,2202,1,50,1.0
4.0,336.2,1.0,29.0,2202,1,50,2.0
4.0,303.03,1.0,34.0,277,1,52,2.0
4.0,308.84,1.0,38.0,5507,1,50,7.0
7.0,19.19,0.0,1.0,270712,1,52,13.0
11.0,1033.78,1.0,38.0,5507,1,50,17.0
11.0,994.92,0.0,4.0,973849,1,69,21.0
11.0,859.46,1.0,38.0,5507,1,50,22.0
11.0,919.17,1.0,34.0,277,1,52,22.0
11.0,1062.95,1.0,29.0,2202,1,50,22.0
12.0,770.94,1.0,29.0,2202,1,50,22.0
12.0,728.77,1.0,38.0,5507,1,50,22.0
7.0,25.27,0.0,1.0,270712,1,52,22.0
8.0,816.89,0.0,4.0,973849,1,69,23.0
7.0,23.18,0.0,1.0,270712,1,52,23.0
11.0,976.64,1.0,34.0,277,1,52,23.0
0.0,510.59,1.0,29.0,2202,1,50,23.0
4.0,307.5,0.0,4.0,973849,1,69,23.0
7.0,20.96,1.0,38.0,5507,1,50,23.0
6.0,224.94,0.0,1.0,270712,1,52,23.0
8.0,790.35,0.0,4.0,973849,1,69,23.0
11.0,870.97,1.0,34.0,277,1,52,23.0
8.0,916.87,1.0,34.0,277,1,52,23.0
8.0,714.88,1.0,34.0,277,1,52,23.0
11.0,1065.43,1.0,29.0,2202,1,50,23.0
8.0,813.73,0.0,1.0,270712,1,52,0.0
0.0,417.97,0.0,34.0,3285,1,36,0.0
4.0,306.81,0.0,4.0,973849,1,69,0.0
2.0,12.57,0.0,4.0,973849,1,69,0.0
4.0,324.87,0.0,29.0,73,1,89,0.0
4.0,325.86,1.0,42.0,4729,1,42,1.0
3.0,16.44,0.0,29.0,73,1,89,1.0
4.0,277.53,0.0,4.0,973849,1,69,1.0
9.0,8.56,0.0,34.0,3285,1,36,2.0
4.0,328.57,1.0,42.0,4729,1,42,2.0
3.0,13.2,0.0,29.0,73,1,89,2.0
4.0,377.28,0.0,1.0,270712,1,52,2.0
9.0,7.24,0.0,1.0,270712,1,52,2.0
9.0,8.54,0.0,34.0,3285,1,36,3.0
8.0,801.35,1.0,27.0,238602,1,31,3.0
0.0,549.13,0.0,34.0,3285,1,36,3.0
1.0,96.57,0.0,34.0,3285,1,36,3.0
8.0,746.43,1.0,27.0,238602,1,31,3.0
12.0,747.46,0.0,1.0,270712,1,52,5.0
0.0,522.21,0.0,1.0,270712,1,52,7.0
3.0,12.95,0.0,29.0,73,1,89,8.0
2.0,10.72,0.0,1.0,270712,1,52,9.0
2.0,8.25,0.0,4.0,973849,1,69,9.0
12.0,839.35,0.0,29.0,73,1,89,16.0
10.0,22.22,0.0,34.0,3285,1,36,20.0
5.0,21.47,0.0,34.0,3285,1,36,22.0
11.0,1169.82,1.0,27.0,238602,1,31,22.0
8.0,690.81,1.0,27.0,238602,1,31,22.0
12.0,969.64,0.0,4.0,973849,1,69,22.0
11.0,896.28,1.0,42.0,4729,1,42,22.0
6.0,249.87,0.0,1.0,270712,1,52,22.0
11.0,1034.21,0.0,29.0,73,1,89,23.0
1.0,121.62,0.0,29.0,73,1,89,23.0
11.0,964.77,1.0,42.0,4729,1,42,23.0
13.0,10.2,0.0,1.0,270712,1,52,23.0
7.0,20.63,1.0,27.0,238602,1,31,23.0
7.0,22.91,0.0,34.0,3285,1,36,23.0
2.0,18.33,0.0,15.0,205,1,64,0.0
4.0,297.74,1.0,27.0,238602,1,31,0.0
12.0,727.13,0.0,34.0,3285,1,36,0.0
4.0,310.15,1.0,42.0,4729,1,42,0.0
1.0,118.23,0.0,34.0,3285,1,36,0.0
3.0,10.7,1.0,21.0,1892,1,68,0.0
4.0,305.14,0.0,15.0,205,1,64,0.0
3.0,15.05,0.0,29.0,73,1,89,1.0
2.0,19.36,0.0,15.0,205,1,64,1.0
4.0,328.58,1.0,27.0,238602,1,31,2.0
4.0,326.68,1.0,21.0,1892,1,68,2.0
4.0,331.43,1.0,27.0,238602,1,31,3.0
4.0,331.2,0.0,34.0,3285,1,36,8.0
3.0,15.25,1.0,21.0,1892,1,68,9.0
8.0,760.83,1.0,27.0,238602,1,31,9.0
11.0,990.43,1.0,21.0,1892,1,68,14.0
11.0,905.28,0.0,15.0,205,1,64,15.0
12.0,936.13,1.0,21.0,1892,1,68,21.0
13.0,10.29,1.0,27.0,238602,1,31,22.0
4.0,308.33,1.0,21.0,1892,1,68,22.0
11.0,1104.91,1.0,42.0,4729,1,42,22.0
11.0,925.74,1.0,27.0,238602,1,31,22.0
8.0,737.43,1.0,42.0,4729,1,42,22.0
11.0,860.8,1.0,21.0,1892,1,68,22.0
8.0,851.71,0.0,29.0,73,1,89,22.0
12.0,752.47,0.0,15.0,205,1,64,22.0
12.0,816.78,1.0,21.0,1892,1,68,22.0
11.0,1124.01,0.0,29.0,73,1,89,23.0
7.0,19.52,0.0,34.0,3285,1,36,23.0
8.0,773.75,1.0,21.0,1892,1,68,23.0
11.0,1140.41,0.0,29.0,73,1,89,23.0
10.0,20.09,0.0,34.0,3285,1,36,23.0
4.0,335.96,0.0,15.0,205,1,64,23.0
11.0,1062.87,1.0,27.0,238602,1,31,23.0
11.0,1022.11,0.0,15.0,205,1,64,23.0
1.0,149.42,0.0,34.0,3285,1,36,23.0
4.0,310.76,1.0,38.0,4653,1,27,0.0
4.0,282.6,1.0,38.0,4653,1,27,1.0
4.0,330.32,0.0,12.0,885,1,74,1.0
4.0,304.17,1.0,38.0,4653,1,27,3.0
4.0,279.83,1.0,38.0,4653,1,27,3.0
8.0,685.26,1.0,38.0,4653,1,27,3.0
4.0,301.4,1.0,38.0,4653,1,27,7.0
2.0,20.49,0.0,15.0,205,1,64,9.0
11.0,999.36,1.0,21.0,1892,1,68,15.0
4.0,311.01,0.0,12.0,885,1,74,16.0
11.0,1095.21,1.0,21.0,1892,1,68,22.0
12.0,793.22,0.0,12.0,885,1,74,22.0
8.0,719.14,1.0,21.0,1892,1,68,22.0
11.0,1056.23,1.0,38.0,4653,1,27,22.0
11.0,929.9,1.0,38.0,4653,1,27,22.0
12.0,893.91,0.0,15.0,205,1,64,23.0
12.0,838.04,1.0,21.0,1892,1,68,23.0
8.0,758.13,1.0,21.0,1892,1,68,23.0
11.0,1125.31,1.0,38.0,4653,1,27,23.0
7.0,6.01,1.0,21.0,1892,1,68,23.0
4.0,322.84,1.0,38.0,4653,1,27,0.0
4.0,314.68,1.0,38.0,4653,1,27,1.0
9.0,795.59,0.0,44.0,46,1,37,1.0
4.0,324.1,1.0,38.0,4653,1,27,2.0
4.0,311.83,1.0,38.0,4653,1,27,3.0
4.0,314.78,1.0,38.0,4653,1,27,7.0
2.0,9.79,0.0,44.0,46,1,37,8.0
11.0,925.94,1.0,38.0,4653,1,27,12.0
9.0,50.96,1.0,41.0,1979,1,54,22.0
11.0,980.06,1.0,38.0,4653,1,27,22.0
6.0,187.35,0.0,44.0,46,1,37,22.0
0.0,564.34,0.0,44.0,46,1,37,22.0
11.0,1020.79,1.0,41.0,1979,1,54,22.0
12.0,986.65,1.0,41.0,1979,1,54,22.0
8.0,907.81,1.0,41.0,1979,1,54,23.0
4.0,347.53,0.0,12.0,885,1,74,23.0
11.0,978.96,0.0,44.0,46,1,37,0.0
11.0,849.79,0.0,44.0,46,1,37,3.0
11.0,955.4,0.0,44.0,46,1,37,3.0
2.0,17.9,1.0,41.0,1979,1,54,4.0
4.0,319.37,0.0,40.0,2408,1,27,7.0
10.0,48.14,1.0,41.0,1979,1,54,14.0
10.0,21.54,0.0,44.0,46,1,37,14.0
0.0,528.98,0.0,44.0,46,1,37,22.0
10.0,21.23,0.0,44.0,46,1,37,22.0
12.0,768.58,1.0,41.0,1979,1,54,22.0
1.0,106.22,1.0,41.0,1979,1,54,22.0
11.0,1135.27,0.0,40.0,2408,1,27,22.0
10.0,51.49,1.0,41.0,1979,1,54,23.0
13.0,9.33,0.0,44.0,46,1,37,23.0
12.0,1334.07,0.0,40.0,2408,1,27,23.0
7.0,6.06,1.0,41.0,1979,1,54,23.0
0.0,386.91,0.0,44.0,46,1,37,23.0
7.0,7.57,1.0,41.0,1979,1,54,23.0
10.0,16.75,0.0,40.0,2408,1,27,23.0
11.0,799.88,0.0,40.0,2408,1,27,23.0
2.0,10.87,0.0,40.0,2408,1,27,0.0
4.0,299.07,1.0,22.0,24840,1,64,0.0
4.0,343.75,0.0,40.0,2408,1,27,1.0
4.0,311.14,0.0,40.0,2408,1,27,1.0
4.0,294.63,1.0,22.0,24840,1,64,3.0
4.0,316.09,0.0,45.0,136895,1,84,3.0
2.0,15.27,0.0,45.0,136895,1,84,7.0
6.0,229.57,0.0,34.0,5950,1,53,12.0
13.0,9.5,0.0,45.0,136895,1,84,16.0
11.0,1073.35,0.0,45.0,136895,1,84,22.0
8.0,792.26,0.0,28.0,475,1,68,22.0
11.0,878.33,0.0,28.0,475,1,68,22.0
11.0,911.04,1.0,22.0,24840,1,64,22.0
10.0,23.71,0.0,34.0,5950,1,53,23.0
4.0,311.41,0.0,45.0,136895,1,84,23.0
8.0,688.75,0.0,40.0,2408,1,27,23.0
11.0,944.46,0.0,40.0,2408,1,27,23.0
6.0,238.27,0.0,34.0,5950,1,53,23.0
12.0,939.35,1.0,22.0,24840,1,64,23.0
1.0,92.79,0.0,34.0,5950,1,53,23.0
11.0,1134.36,0.0,45.0,136895,1,84,23.0
2.0,17.34,0.0,28.0,475,1,68,0.0
4.0,294.85,0.0,28.0,475,1,68,0.0
0.0,493.5,0.0,34.0,5950,1,53,1.0
4.0,348.74,0.0,34.0,5950,1,53,2.0
4.0,300.05,0.0,45.0,136895,1,84,2.0
9.0,7.01,0.0,34.0,5950,1,53,3.0
11.0,1065.87,0.0,34.0,5950,1,53,3.0
4.0,271.91,1.0,22.0,24840,1,64,3.0
4.0,275.15,0.0,45.0,136895,1,84,6.0
2.0,9.44,1.0,22.0,24840,1,64,9.0
8.0,861.36,0.0,34.0,5950,1,53,11.0
11.0,1027.34,0.0,45.0,136895,1,84,17.0
11.0,1191.47,1.0,22.0,24840,1,64,19.0
12.0,927.58,1.0,22.0,24840,1,64,21.0
11.0,997.62,1.0,22.0,24840,1,64,21.0
6.0,261.01,0.0,34.0,5950,1,53,22.0
12.0,865.06,1.0,22.0,24840,1,64,22.0
6.0,275.71,0.0,34.0,5950,1,53,22.0
11.0,904.58,1.0,22.0,24840,1,64,23.0
11.0,1014.54,1.0,22.0,24840,1,64,23.0
11.0,1049.71,0.0,45.0,136895,1,84,23.0
11.0,994.37,0.0,28.0,475,1,68,23.0
8.0,806.77,0.0,45.0,136895,1,84,23.0
11.0,1043.2,0.0,28.0,475,1,68,23.0
12.0,1117.82,0.0,45.0,136895,1,84,23.0
2.0,9.18,0.0,35.0,31394,1,27,2.0
4.0,311.58,0.0,35.0,31394,1,27,3.0
8.0,729.1,0.0,35.0,31394,1,27,3.0
2.0,10.34,0.0,35.0,31394,1,27,7.0
4.0,320.59,0.0,17.0,344,1,57,13.0
11.0,917.52,0.0,17.0,344,1,57,15.0
12.0,1009.62,0.0,35.0,31394,1,27,22.0
10.0,50.66,0.0,17.0,344,1,57,22.0
12.0,797.87,0.0,35.0,31394,1,27,22.0
11.0,1122.38,0.0,35.0,31394,1,27,22.0
11.0,1002.29,0.0,35.0,31394,1,27,22.0
12.0,704.6,0.0,35.0,31394,1,27,23.0
12.0,810.35,0.0,35.0,31394,1,27,23.0
12.0,867.76,0.0,35.0,31394,1,27,23.0
8.0,767.97,0.0,17.0,344,1,57,23.0
13.0,9.69,0.0,35.0,31394,1,27,23.0
11.0,1058.68,0.0,17.0,344,1,57,23.0
4.0,301.8,0.0,35.0,31394,1,27,0.0
9.0,6.83,0.0,9.0,50835,1,38,0.0
1.0,109.69,0.0,9.0,50835,1,38,1.0
12.0,746.76,0.0,9.0,50835,1,38,2.0
11.0,1155.71,0.0,9.0,50835,1,38,3.0
12.0,885.64,0.0,9.0,50835,1,38,3.0
12.0,771.55,0.0,9.0,50835,1,38,3.0
4.0,293.52,0.0,35.0,31394,1,27,7.0
2.0,19.43,0.0,17.0,344,1,57,9.0
12.0,913.75,0.0,9.0,50835,1,38,10.0
9.0,8.63,0.0,9.0,50835,1,38,10.0
11.0,1036.56,0.0,17.0,344,1,57,21.0
11.0,990.45,0.0,17.0,344,1,57,22.0
13.0,10.68,0.0,9.0,50835,1,38,22.0
4.0,330.24,0.0,17.0,344,1,57,22.0
10.0,17.52,0.0,9.0,50835,1,38,23.0
7.0,21.12,0.0,9.0,50835,1,38,23.0
7.0,16.1,0.0,9.0,50835,1,38,23.0
11.0,938.82,0.0,17.0,344,1,57,23.0
11.0,1182.65,0.0,35.0,31394,1,27,23.0
11.0,1115.06,0.0,35.0,31394,1,27,23.0
12.0,706.66,0.0,9.0,50835,1,38,2.0
11.0,1079.64,0.0,9.0,50835,1,38,3.0
4.0,317.62,1.0,48.0,149,1,24,3.0
4.0,316.88,1.0,48.0,149,1,24,4.0
11.0,980.77,1.0,48.0,149,1,24,17.0
7.0,15.68,1.0,48.0,149,1,24,23.0
2.0,10.64,1.0,48.0,149,1,24,0.0
2.0,10.02,1.0,48.0,149,1,24,1.0
7.0,19.05,1.0,48.0,149,1,24,22.0
12.0,1172.01,1.0,48.0,149,1,24,22.0
11.0,1075.29,1.0,48.0,149,1,24,23.0
8.0,775.1,1.0,48.0,149,1,24,23.0
4.0,329.83,1.0,4.0,126,1,31,1.0
2.0,9.89,0.0,14.0,1943,1,52,1.0
4.0,369.0,0.0,14.0,1943,1,52,2.0
9.0,919.58,0.0,14.0,1943,1,52,2.0
4.0,310.76,0.0,35.0,22305,1,85,2.0
12.0,740.2,0.0,14.0,1943,1,52,3.0
4.0,298.01,1.0,4.0,126,1,31,4.0
12.0,744.69,0.0,14.0,1943,1,52,13.0
8.0,761.3,0.0,35.0,22305,1,85,13.0
11.0,999.18,0.0,35.0,22305,1,85,19.0
4.0,317.2,0.0,35.0,22305,1,85,20.0
8.0,1043.38,1.0,4.0,126,1,31,22.0
11.0,1189.69,1.0,4.0,126,1,31,22.0
0.0,609.41,0.0,14.0,1943,1,52,22.0
5.0,21.26,0.0,14.0,1943,1,52,23.0
4.0,289.8,1.0,4.0,126,1,31,23.0
12.0,795.01,1.0,4.0,126,1,31,23.0
12.0,999.45,0.0,14.0,1943,1,52,23.0
5.0,21.47,0.0,14.0,1943,1,52,23.0
4.0,296.87,1.0,4.0,126,1,31,0.0
4.0,294.02,1.0,4.0,126,1,31,1.0
4.0,295.07,1.0,4.0,1241364,1,36,2.0
4.0,321.49,1.0,4.0,126,1,31,3.0
4.0,314.86,0.0,35.0,22305,1,85,3.0
4.0,276.99,1.0,4.0,1241364,1,36,3.0
4.0,306.2,1.0,4.0,1241364,1,36,5.0
4.0,290.89,1.0,4.0,1241364,1,36,8.0
12.0,1004.83,0.0,35.0,22305,1,85,14.0
10.0,21.73,0.0,35.0,22305,1,85,22.0
11.0,1005.31,1.0,4.0,1241364,1,36,22.0
4.0,287.42,1.0,4.0,126,1,31,22.0
11.0,1058.01,1.0,4.0,1241364,1,36,23.0
8.0,658.54,0.0,35.0,22305,1,85,23.0
11.0,1037.0,1.0,4.0,1241364,1,36,23.0
2.0,13.2,0.0,36.0,540,1,40,0.0
9.0,726.63,0.0,36.0,540,1,40,0.0
3.0,11.33,1.0,43.0,2906700,1,62,0.0
9.0,814.83,0.0,36.0,540,1,40,0.0
8.0,775.67,0.0,27.0,2749,1,26,1.0
4.0,287.0,1.0,43.0,2906700,1,62,1.0
4.0,285.88,1.0,4.0,1241364,1,36,1.0
8.0,731.6,1.0,4.0,1241364,1,36,1.0
2.0,10.57,0.0,27.0,2749,1,26,2.0
2.0,9.02,1.0,43.0,2906700,1,62,2.0
4.0,326.94,1.0,4.0,1241364,1,36,3.0
2.0,8.27,0.0,27.0,2749,1,26,4.0
12.0,865.48,1.0,43.0,2906700,1,62,13.0
10.0,18.08,0.0,36.0,540,1,40,22.0
8.0,666.7,1.0,43.0,2906700,1,62,22.0
11.0,947.47,1.0,43.0,2906700,1,62,22.0
11.0,1006.51,0.0,27.0,2749,1,26,22.0
7.0,16.33,0.0,36.0,540,1,40,23.0
11.0,930.92,0.0,27.0,2749,1,26,23.0
12.0,715.29,1.0,4.0,1241364,1,36,23.0
0.0,495.2,0.0,36.0,540,1,40,23.0
8.0,808.25,1.0,43.0,2906700,1,62,23.0
13.0,9.42,0.0,36.0,540,1,40,23.0
2.0,12.34,0.0,27.0,2749,1,26,0.0
12.0,986.53,0.0,24.0,2368,1,35,0.0
11.0,1041.76,0.0,24.0,2368,1,35,1.0
4.0,270.28,0.0,27.0,2749,1,26,1.0
4.0,325.7,0.0,7.0,601723,1,38,1.0
12.0,649.14,0.0,7.0,601723,1,38,2.0
8.0,857.67,0.0,24.0,2368,1,35,2.0
6.0,282.39,0.0,7.0,601723,1,38,14.0
12.0,881.11,0.0,38.0,922,1,51,16.0
7.0,22.95,0.0,38.0,922,1,51,19.0
13.0,8.84,0.0,27.0,2749,1,26,22.0
6.0,241.08,0.0,24.0,2368,1,35,22.0
7.0,19.77,0.0,24.0,2368,1,35,22.0
1.0,138.51,0.0,7.0,601723,1,38,22.0
10.0,19.69,0.0,36.0,540,1,40,22.0
0.0,540.67,0.0,24.0,2368,1,35,23.0
7.0,18.47,0.0,7.0,601723,1,38,23.0
11.0,1024.66,1.0,9.0,2060,1,40,23.0
12.0,801.76,1.0,9.0,2060,1,40,23.0
9.0,7.32,1.0,9.0,2060,1,40,23.0
12.0,972.51,0.0,7.0,601723,1,38,0.0
12.0,868.34,0.0,24.0,2368,1,35,0.0
11.0,921.24,0.0,38.0,922,1,51,0.0
12.0,1090.67,0.0,38.0,922,1,51,1.0
11.0,1043.59,0.0,38.0,922,1,51,1.0
8.0,769.13,0.0,7.0,601723,1,38,2.0
4.0,291.92,1.0,4.0,99475,1,54,2.0
2.0,12.41,0.0,38.0,922,1,51,2.0
4.0,290.2,0.0,24.0,2368,1,35,2.0
2.0,11.68,1.0,9.0,2060,1,40,3.0
9.0,741.98,0.0,38.0,922,1,51,3.0
7.0,21.93,0.0,38.0,922,1,51,12.0
9.0,8.94,0.0,35.0,75903,1,67,16.0
8.0,820.25,1.0,4.0,99475,1,54,17.0
11.0,1084.55,1.0,4.0,99475,1,54,22.0
10.0,21.49,1.0,9.0,2060,1,40,22.0
1.0,101.13,0.0,7.0,601723,1,38,22.0
7.0,22.35,0.0,38.0,922,1,51,22.0
8.0,906.8,1.0,9.0,2060,1,40,22.0
0.0,424.38,0.0,24.0,2368,1,35,22.0
12.0,1008.53,0.0,35.0,75903,1,67,23.0
0.0,474.24,0.0,24.0,2368,1,35,23.0
6.0,281.8,0.0,7.0,601723,1,38,23.0
8.0,772.48,0.0,35.0,75903,1,67,23.0
4.0,301.44,1.0,9.0,2060,1,40,23.0
7.0,20.21,0.0,24.0,2368,1,35,23.0
6.0,271.41,0.0,7.0,601723,1,38,23.0
9.0,8.57,1.0,4.0,99475,1,54,23.0
7.0,19.34,1.0,9.0,2060,1,40,23.0
8.0,1024.58,0.0,35.0,75903,1,67,23.0
12.0,1129.56,0.0,38.0,922,1,51,23.0
1.0,116.45,0.0,38.0,922,1,51,23.0
2.0,9.17,1.0,4.0,99475,1,54,1.0
12.0,891.41,0.0,23.0,399,1,47,1.0
9.0,840.58,0.0,23.0,399,1,47,1.0
12.0,791.99,0.0,23.0,399,1,47,1.0
4.0,303.8,0.0,35.0,75903,1,67,1.0
4.0,280.48,1.0,38.0,1946,1,34,1.0
4.0,280.66,0.0,35.0,75903,1,67,2.0
3.0,13.13,0.0,35.0,75903,1,67,2.0
2.0,11.1,0.0,23.0,399,1,47,2.0
4.0,259.96,1.0,4.0,99475,1,54,3.0
5.0,19.69,0.0,23.0,399,1,47,18.0
7.0,21.23,0.0,23.0,399,1,47,19.0
